author,word,count,per_1000
Austen,could,1865,5.099
Austen,would,1688,4.615
Austen,must,1077,2.945
Austen,said,1052,2.876
Austen,one,1014,2.772
Austen,much,978,2.674
Austen,miss,934,2.554
Austen,every,913,2.496
Austen,emma,860,2.351
Austen,well,744,2.034
Austen,think,742,2.029
Austen,might,706,1.93
Austen,never,701,1.917
Austen,little,694,1.898
Austen,know,694,1.898
Austen,elinor,684,1.87
Austen,time,665,1.818
Austen,good,630,1.723
Austen,thing,619,1.692
Austen,nothing,577,1.578
Chesterton,said,1575,7.376
Chesterton,man,912,4.271
Chesterton,like,911,4.266
Chesterton,one,798,3.737
Chesterton,turnbull,545,2.552
Chesterton,syme,519,2.431
Chesterton,could,461,2.159
Chesterton,macian,426,1.995
Chesterton,would,410,1.92
Chesterton,two,374,1.752
Chesterton,know,370,1.733
Chesterton,face,366,1.714
Chesterton,little,360,1.686
Chesterton,even,342,1.602
Chesterton,seemed,319,1.494
Chesterton,see,318,1.489
Chesterton,quite,316,1.48
Chesterton,brown,316,1.48
Chesterton,say,303,1.419
Chesterton,old,301,1.41
